,ID,Campaign,value
0,0,AcceptedCmp1,0
1,1,AcceptedCmp1,0
2,13,AcceptedCmp1,0
3,17,AcceptedCmp1,0
4,22,AcceptedCmp1,0
5,25,AcceptedCmp1,0
6,35,AcceptedCmp1,0
7,48,AcceptedCmp1,0
8,55,AcceptedCmp1,0
9,73,AcceptedCmp1,0
10,75,AcceptedCmp1,0
11,87,AcceptedCmp1,0
12,89,AcceptedCmp1,0
13,113,AcceptedCmp1,0
14,115,AcceptedCmp1,0
15,123,AcceptedCmp1,0
16,125,AcceptedCmp1,0
17,143,AcceptedCmp1,0
18,146,AcceptedCmp1,1
19,153,AcceptedCmp1,0
20,158,AcceptedCmp1,0
21,164,AcceptedCmp1,0
22,176,AcceptedCmp1,0
23,178,AcceptedCmp1,0
24,182,AcceptedCmp1,0
25,193,AcceptedCmp1,0
26,194,AcceptedCmp1,0
27,195,AcceptedCmp1,0
28,199,AcceptedCmp1,0
29,203,AcceptedCmp1,0
30,213,AcceptedCmp1,0
31,221,AcceptedCmp1,0
32,231,AcceptedCmp1,0
33,232,AcceptedCmp1,0
34,236,AcceptedCmp1,0
35,238,AcceptedCmp1,0
36,246,AcceptedCmp1,0
37,247,AcceptedCmp1,0
38,252,AcceptedCmp1,0
39,254,AcceptedCmp1,0
40,255,AcceptedCmp1,0
41,257,AcceptedCmp1,0
42,263,AcceptedCmp1,0
43,269,AcceptedCmp1,0
44,273,AcceptedCmp1,0
45,274,AcceptedCmp1,0
46,286,AcceptedCmp1,0
47,291,AcceptedCmp1,0
48,304,AcceptedCmp1,0
49,310,AcceptedCmp1,0
50,313,AcceptedCmp1,0
51,322,AcceptedCmp1,0
52,326,AcceptedCmp1,0
53,332,AcceptedCmp1,0
54,339,AcceptedCmp1,0
55,340,AcceptedCmp1,0
56,347,AcceptedCmp1,0
57,359,AcceptedCmp1,0
58,361,AcceptedCmp1,0
59,367,AcceptedCmp1,0
60,368,AcceptedCmp1,0
61,375,AcceptedCmp1,0
62,378,AcceptedCmp1,0
63,380,AcceptedCmp1,0
64,387,AcceptedCmp1,0
65,405,AcceptedCmp1,0
66,425,AcceptedCmp1,0
67,433,AcceptedCmp1,0
68,437,AcceptedCmp1,0
69,448,AcceptedCmp1,0
70,450,AcceptedCmp1,0
71,451,AcceptedCmp1,0
72,453,AcceptedCmp1,0
73,454,AcceptedCmp1,0
74,456,AcceptedCmp1,0
75,460,AcceptedCmp1,0
76,466,AcceptedCmp1,0
77,477,AcceptedCmp1,1
78,498,AcceptedCmp1,0
79,500,AcceptedCmp1,1
80,503,AcceptedCmp1,0
81,521,AcceptedCmp1,0
82,523,AcceptedCmp1,0
83,528,AcceptedCmp1,0
84,531,AcceptedCmp1,0
85,538,AcceptedCmp1,0
86,550,AcceptedCmp1,0
87,564,AcceptedCmp1,0
88,569,AcceptedCmp1,1
89,590,AcceptedCmp1,0
90,591,AcceptedCmp1,0
91,606,AcceptedCmp1,0
92,607,AcceptedCmp1,0
93,610,AcceptedCmp1,0
94,615,AcceptedCmp1,0
95,618,AcceptedCmp1,0
96,624,AcceptedCmp1,0
97,626,AcceptedCmp1,0
98,635,AcceptedCmp1,0
99,640,AcceptedCmp1,0
100,641,AcceptedCmp1,0
101,642,AcceptedCmp1,0
102,675,AcceptedCmp1,0
103,679,AcceptedCmp1,0
104,692,AcceptedCmp1,0
105,697,AcceptedCmp1,0
106,701,AcceptedCmp1,0
107,702,AcceptedCmp1,0
108,709,AcceptedCmp1,0
109,713,AcceptedCmp1,0
110,737,AcceptedCmp1,1
111,738,AcceptedCmp1,0
112,749,AcceptedCmp1,0
113,760,AcceptedCmp1,0
114,771,AcceptedCmp1,0
115,773,AcceptedCmp1,0
116,793,AcceptedCmp1,0
117,796,AcceptedCmp1,0
118,798,AcceptedCmp1,0
119,800,AcceptedCmp1,0
120,803,AcceptedCmp1,0
121,807,AcceptedCmp1,0
122,810,AcceptedCmp1,0
123,819,AcceptedCmp1,0
124,821,AcceptedCmp1,0
125,830,AcceptedCmp1,1
126,832,AcceptedCmp1,0
127,839,AcceptedCmp1,0
128,843,AcceptedCmp1,0
129,850,AcceptedCmp1,0
130,851,AcceptedCmp1,0
131,880,AcceptedCmp1,0
132,891,AcceptedCmp1,0
133,895,AcceptedCmp1,0
134,898,AcceptedCmp1,0
135,902,AcceptedCmp1,0
136,905,AcceptedCmp1,0
137,907,AcceptedCmp1,0
138,916,AcceptedCmp1,0
139,922,AcceptedCmp1,0
140,938,AcceptedCmp1,0
141,940,AcceptedCmp1,0
142,942,AcceptedCmp1,0
143,944,AcceptedCmp1,0
144,945,AcceptedCmp1,0
145,948,AcceptedCmp1,0
146,954,AcceptedCmp1,0
147,955,AcceptedCmp1,0
148,961,AcceptedCmp1,0
149,965,AcceptedCmp1,0
150,966,AcceptedCmp1,0
151,967,AcceptedCmp1,0
152,975,AcceptedCmp1,0
153,977,AcceptedCmp1,0
154,983,AcceptedCmp1,0
155,988,AcceptedCmp1,1
156,999,AcceptedCmp1,0
157,1008,AcceptedCmp1,0
158,1010,AcceptedCmp1,0
159,1012,AcceptedCmp1,0
160,1016,AcceptedCmp1,0
161,1029,AcceptedCmp1,0
162,1030,AcceptedCmp1,0
163,1031,AcceptedCmp1,0
164,1044,AcceptedCmp1,0
165,1045,AcceptedCmp1,0
166,1048,AcceptedCmp1,0
167,1050,AcceptedCmp1,0
168,1055,AcceptedCmp1,0
169,1064,AcceptedCmp1,0
170,1065,AcceptedCmp1,0
171,1072,AcceptedCmp1,0
172,1077,AcceptedCmp1,0
173,1079,AcceptedCmp1,0
174,1081,AcceptedCmp1,0
175,1087,AcceptedCmp1,0
176,1092,AcceptedCmp1,0
177,1100,AcceptedCmp1,0
178,1103,AcceptedCmp1,0
179,1109,AcceptedCmp1,0
180,1118,AcceptedCmp1,0
181,1127,AcceptedCmp1,0
182,1131,AcceptedCmp1,0
183,1135,AcceptedCmp1,0
184,1137,AcceptedCmp1,1
185,1139,AcceptedCmp1,1
186,1142,AcceptedCmp1,0
187,1143,AcceptedCmp1,0
188,1150,AcceptedCmp1,0
189,1158,AcceptedCmp1,0
190,1160,AcceptedCmp1,0
191,1165,AcceptedCmp1,0
192,1168,AcceptedCmp1,0
193,1170,AcceptedCmp1,0
194,1172,AcceptedCmp1,1
195,1173,AcceptedCmp1,0
196,1175,AcceptedCmp1,0
197,1176,AcceptedCmp1,0
198,1177,AcceptedCmp1,0
199,1183,AcceptedCmp1,0
200,1184,AcceptedCmp1,0
201,1204,AcceptedCmp1,1
202,1212,AcceptedCmp1,0
203,1215,AcceptedCmp1,1
204,1241,AcceptedCmp1,0
205,1272,AcceptedCmp1,0
206,1277,AcceptedCmp1,1
207,1291,AcceptedCmp1,0
208,1295,AcceptedCmp1,0
209,1307,AcceptedCmp1,0
210,1321,AcceptedCmp1,0
211,1324,AcceptedCmp1,0
212,1328,AcceptedCmp1,0
213,1331,AcceptedCmp1,0
214,1340,AcceptedCmp1,1
215,1349,AcceptedCmp1,0
216,1351,AcceptedCmp1,0
217,1357,AcceptedCmp1,0
218,1361,AcceptedCmp1,0
219,1362,AcceptedCmp1,0
220,1371,AcceptedCmp1,0
221,1377,AcceptedCmp1,0
222,1378,AcceptedCmp1,0
223,1379,AcceptedCmp1,0
224,1381,AcceptedCmp1,0
225,1384,AcceptedCmp1,0
226,1386,AcceptedCmp1,0
227,1388,AcceptedCmp1,0
228,1399,AcceptedCmp1,1
229,1402,AcceptedCmp1,0
230,1403,AcceptedCmp1,0
231,1404,AcceptedCmp1,0
232,1406,AcceptedCmp1,0
233,1411,AcceptedCmp1,0
234,1440,AcceptedCmp1,0
235,1446,AcceptedCmp1,0
236,1448,AcceptedCmp1,0
237,1453,AcceptedCmp1,0
238,1458,AcceptedCmp1,0
239,1459,AcceptedCmp1,0
240,1461,AcceptedCmp1,0
241,1463,AcceptedCmp1,0
242,1473,AcceptedCmp1,0
243,1490,AcceptedCmp1,0
244,1491,AcceptedCmp1,0
245,1497,AcceptedCmp1,0
246,1501,AcceptedCmp1,0
247,1502,AcceptedCmp1,0
248,1503,AcceptedCmp1,0
249,1506,AcceptedCmp1,0
250,1509,AcceptedCmp1,1
251,1513,AcceptedCmp1,0
252,1515,AcceptedCmp1,0
253,1517,AcceptedCmp1,0
254,1518,AcceptedCmp1,0
255,1523,AcceptedCmp1,0
256,1524,AcceptedCmp1,1
257,1542,AcceptedCmp1,0
258,1544,AcceptedCmp1,0
259,1545,AcceptedCmp1,0
260,1553,AcceptedCmp1,1
261,1570,AcceptedCmp1,0
262,1577,AcceptedCmp1,0
263,1581,AcceptedCmp1,0
264,1584,AcceptedCmp1,0
265,1592,AcceptedCmp1,1
266,1604,AcceptedCmp1,0
267,1606,AcceptedCmp1,0
268,1612,AcceptedCmp1,0
269,1618,AcceptedCmp1,0
270,1619,AcceptedCmp1,0
271,1627,AcceptedCmp1,1
272,1628,AcceptedCmp1,0
273,1631,AcceptedCmp1,0
274,1640,AcceptedCmp1,0
275,1646,AcceptedCmp1,0
276,1650,AcceptedCmp1,0
277,1655,AcceptedCmp1,0
278,1663,AcceptedCmp1,0
279,1665,AcceptedCmp1,0
280,1672,AcceptedCmp1,0
281,1676,AcceptedCmp1,0
282,1685,AcceptedCmp1,0
283,1710,AcceptedCmp1,0
284,1715,AcceptedCmp1,0
285,1717,AcceptedCmp1,0
286,1726,AcceptedCmp1,0
287,1729,AcceptedCmp1,0
